id,cliente_sexo,loja_cidade,produto_produto,produto_valor,cliente_idade,promoção,pg
1,M,Palmas,laptop_básico,2300.0,73,0,1
2,F,Palmas,laptop_básico,2300.0,51,1,1
3,M,Salvador,cadeira,540.0,61,1,1
4,M,Belo_Horizonte,laptop_básico,2300.0,81,0,0
5,M,Palmas,mouse,20.0,82,0,1
6,F,Brasília,laptop_básico,2300.0,53,1,0
7,M,Vitória,impressora,700.0,71,1,1
8,F,Vitória,xxx_231a,321.1352,34,0,1
9,F,Salvador,laptop_básico,2300.0,32,1,1
10,M,Curitiba,xxx_231a,321.1352,43,0,1
11,F,Santa_Catarina,laptop_básico,2300.0,45,0,1
12,M,Vitória,laptop_básico,2300.0,26,0,1
13,F,Curitiba,mouse,20.0,78,0,1
14,F,Brasília,teclado,30.0,63,1,1
15,M,Vitória,laptop_básico,2300.0,57,0,1
16,F,Salvador,laptop_básico,2300.0,71,0,1
17,F,Salvador,laptop_básico,2300.0,26,1,1
18,M,Rio_de_Janeiro,laptop_básico,2300.0,59,1,1
19,F,Salvador,monitor,1500.0,23,0,1
20,F,Palmas,cadeira,540.0,73,0,1
21,M,Rio_de_Janeiro,xxx_231a,321.1352,3,0,0
22,F,Rio_de_Janeiro,laptop_básico,2300.0,61,0,0
23,F,Vitória,xxx_231a,321.1352,54,1,1
24,F,Rio_de_Janeiro,teclado,30.0,28,1,1
25,M,Palmas,monitor,1500.0,23,1,1
26,M,Brasília,laptop_básico,2300.0,35,1,1
27,F,Brasília,laptop_básico,2300.0,64,1,1
28,M,Recife,mesa,860.0,68,0,1
29,M,Santa_Catarina,xxx_231a,321.1352,49,0,1
30,F,Curitiba,teclado,30.0,38,0,1
31,F,Belo_Horizonte,laptop_básico,2300.0,31,1,1
32,F,Palmas,laptop_básico,2300.0,44,1,1
33,F,Rio_de_Janeiro,carregador,150.0,26,0,0
34,F,Rio_de_Janeiro,mouse,20.0,65,1,1
35,F,Salvador,laptop_básico,2300.0,20,1,1
36,M,Belo_Horizonte,carregador,150.0,80,1,1
37,F,Recife,laptop_básico,2300.0,59,1,1
38,M,Brasília,carregador,150.0,55,0,1
39,M,Rio_de_Janeiro,carregador,150.0,56,0,0
40,F,Vitória,laptop_básico,2300.0,39,0,1
41,F,Santa_Catarina,monitor,1500.0,87,0,1
42,F,Recife,teclado,30.0,39,1,1
43,M,Curitiba,carregador,150.0,62,0,1
44,M,Brasília,carregador,150.0,30,1,1
45,F,Rio_de_Janeiro,laptop_básico,2300.0,69,1,0
46,F,Palmas,laptop_básico,2300.0,38,0,1
47,M,Rio_de_Janeiro,laptop_básico,2300.0,51,0,1
48,M,Curitiba,mouse,20.0,44,0,1
49,M,Recife,laptop_básico,2300.0,28,1,1
50,F,Rio_de_Janeiro,laptop_básico,2300.0,39,0,0
51,F,Brasília,laptop_gamer,5300.0,25,0,0
52,F,Rio_de_Janeiro,impressora,700.0,81,0,0
53,M,Rio_de_Janeiro,laptop_básico,2300.0,36,0,1
54,F,Recife,laptop_básico,2300.0,59,0,1
55,F,Recife,laptop_básico,2300.0,79,0,1
56,M,Brasília,laptop_gamer,5300.0,66,0,0
57,F,Rio_de_Janeiro,teclado,30.0,69,0,0
58,M,Rio_de_Janeiro,laptop_básico,2300.0,30,0,0
59,M,Brasília,laptop_básico,2300.0,43,0,0
60,F,Vitória,impressora,700.0,38,0,1
61,M,Rio_de_Janeiro,laptop_básico,2300.0,88,0,1
62,M,Vitória,laptop_básico,2300.0,32,1,1
63,F,Palmas,teclado,30.0,77,0,1
64,M,Salvador,teclado,30.0,57,0,1
65,F,Vitória,mouse,20.0,23,0,1
66,M,Recife,laptop_gamer,5300.0,86,0,1
67,F,Rio_de_Janeiro,laptop_básico,2300.0,37,0,0
68,F,Rio_de_Janeiro,laptop_básico,2300.0,88,0,0
69,F,Salvador,laptop_básico,2300.0,20,1,1
70,F,Recife,laptop_básico,2300.0,23,1,1
71,F,Palmas,impressora,700.0,45,0,1
72,F,São_Paulo,carregador,150.0,33,0,0
73,M,Curitiba,teclado,30.0,60,0,0
